player_id,name,sport,league,role,status,hometown,notes
damian-lillard,Damian Lillard,Basketball,NBA,Point Guard,Active,,
jim-otto,Jim Otto,Football,NFL,Center,Retired,,Number 00 is distinct from 0. Otto defines this number in football as Parish does in basketball.
robert-parish,Robert Parish,Basketball,NBA,Center,Retired,,Number 00 is distinct from 0. Parish defines this number.
russell-westbrook,Russell Westbrook,Basketball,NBA,Point Guard,Active,,
oscar-robertson,Oscar Robertson,Basketball,NBA,Point Guard,Retired,,
terry-sawchuk,Terry Sawchuk,Hockey,NHL,Goaltender,Retired,,
warren-moon,Warren Moon,Football,NFL,Quarterback,Retired,,
brian-leetch,Brian Leetch,Hockey,NHL,Defenseman,Retired,,
derek-jeter,Derek Jeter,Baseball,MLB,Shortstop,Retired,,
allen-iverson,Allen Iverson,Basketball,NBA,Point Guard,Retired,,
babe-ruth,Babe Ruth,Baseball,MLB,Right Field,Retired,,#3 retired by Yankees
dwyane-wade,Dwyane Wade,Basketball,NBA,Shooting Guard,Retired,,
diana-taurasi,Diana Taurasi,Basketball,WNBA,Guard,Active,"Chino, California",
brett-favre,Brett Favre,Football,NFL,Quarterback,Retired,"Gulfport, Mississippi, USA",Defined the gunslinger quarterback archetype
bobby-orr,Bobby Orr,Hockey,NHL,Defenseman,Retired,,
lou-gehrig,Lou Gehrig,Baseball,MLB,First Base,Retired,,
joe-dimaggio,Joe DiMaggio,Baseball,MLB,Center Field,Retired,,
nicklas-lidstrom,Nicklas Lidstrom,Hockey,NHL,Defenseman,Retired,,
franz-beckenbauer,Franz Beckenbauer,Soccer,International,Sweeper,Retired,"Munich, Germany",
bill-russell,Bill Russell,Basketball,NBA,Center,Retired,,SACRED
mickey-mantle,Mickey Mantle,Baseball,MLB,Center Field,Retired,,
john-elway,John Elway,Football,NFL,Quarterback,Retired,"Port Angeles, Washington, USA",One of the most iconic quarterbacks of the late 20th century
phil-esposito,Phil Esposito,Hockey,NHL,Center,Retired,,
cristiano-ronaldo,Cristiano Ronaldo,Soccer,International,Forward,Active,"Funchal, Madeira, Portugal",ACTIVE - review annually
david-beckham,David Beckham,Soccer,International,Midfielder,Retired,"London, England",
alex-ovechkin,Alex Ovechkin,Hockey,NHL,Left Wing,Retired,,
troy-aikman,Troy Aikman,Football,NFL,Quarterback,Retired,,
cal-ripken-jr,Cal Ripken Jr.,Baseball,MLB,Shortstop,Retired,,
cale-makar,Cale Makar,Hockey,NHL,Defenseman,Active,,ACTIVE - review annually CONDITIONAL — cross-generational name test still building. Review annually.
kobe-bryant,Kobe Bryant,Basketball,NBA,Shooting Guard,Retired,,Both 8 and 24 retired by Lakers
erling-haaland,Erling Haaland,Soccer,Soccer,Striker,Active,,ACTIVE - review annually CONDITIONAL cross-generational name test still building. Review annually.
mia-hamm,Mia Hamm,Soccer,International,Forward,Retired,"Selma, Alabama",
gordie-howe,Gordie Howe,Hockey,NHL,Right Wing,Retired,,
maurice-richard,Maurice Richard,Hockey,NHL,Right Wing,Retired,,
ronaldo-naz-rio,Ronaldo Nazário,Soccer,International,Forward,Retired,"Rio de Janeiro, Brazil",
roger-maris,Roger Maris,Baseball,MLB,Right Fielder,Retired,"Hibbing, Minnesota, USA",
ted-williams,Ted Williams,Baseball,MLB,Left Field,Retired,,
marta,Marta,Soccer,International,Forward,Active,"Dois Riachos, Brazil",
guy-lafleur,Guy Lafleur,Hockey,NHL,Right Wing,Retired,,
pel,Pelé,Soccer,Soccer,Forward,Retired,,
diego-maradona,Diego Maradona,Soccer,International,Attacking Midfielder,Retired,"Lanús, Argentina",
lionel-messi,Lionel Messi,Soccer,International,Forward,Active,"Rosario, Argentina",ACTIVE - review annually
zinedine-zidane,Zinedine Zidane,Soccer,International,Attacking Midfielder,Retired,"Marseille, France",
ronaldinho,Ronaldinho,Soccer,International,Attacking Midfielder,Retired,"Porto Alegre, Brazil",
steve-nash,Steve Nash,Basketball,NBA,Point Guard,Retired,,
isiah-thomas,Isiah Thomas,Basketball,NBA,Point Guard,Retired,,
mark-messier,Mark Messier,Hockey,NHL,Center,Retired,,#11 retired by Rangers and Oilers
mohamed-salah,Mohamed Salah,Soccer,Soccer,Right Wing,Active,,ACTIVE - review annually Active legend — review annually.
tom-brady,Tom Brady,Football,NFL,Quarterback,Retired,"San Mateo, California, USA",Widely considered the greatest quarterback in NFL history
joe-namath,Joe Namath,Football,NFL,Quarterback,Retired,,
john-stockton,John Stockton,Basketball,NBA,Point Guard,Retired,,
christine-sinclair,Christine Sinclair,Soccer,International,Forward,Retired,"Burnaby, British Columbia, Canada",
dan-marino,Dan Marino,Football,NFL,Quarterback,Retired,,#13 retired by Dolphins
wilt-chamberlain,Wilt Chamberlain,Basketball,NBA,Center,Retired,,
alex-rodriguez,Alex Rodriguez,Baseball,MLB,Shortstop / Third Base,Retired,"New York City, New York, USA",Legacy complicated by PED suspension but statistical dominance is undeniable
brendan-shanahan,Brendan Shanahan,Hockey,NHL,Right Wing,Retired,,
pete-rose,Pete Rose,Baseball,MLB,Third Base/Outfield,Retired,,Gambling ban complicates but doesn't erase the stats
abby-wambach,Abby Wambach,Soccer,International,Forward,Retired,"Rochester, New York",
johan-cruyff,Johan Cruyff,Soccer,International,Forward,Retired,"Amsterdam, Netherlands",
nikola-jokic,Nikola Jokic,Basketball,NBA,Center,Active,,Active but passes Legend test - per tier list
thurman-munson,Thurman Munson,Baseball,MLB,Catcher,Retired,,#15 retired by Yankees
joe-montana,Joe Montana,Football,NFL,Quarterback,Retired,,
reggie-jackson,Reggie Jackson,Baseball,MLB,Right Field,Retired,,
shohei-ohtani,Shohei Ohtani,Baseball,MLB,Pitcher/DH,Active,,ACTIVE - review annually Active legend — review annually.
peyton-manning,Peyton Manning,Football,NFL,Quarterback,Retired,,
johnny-unitas,Johnny Unitas,Football,NFL,Quarterback,Retired,,
steve-yzerman,Steve Yzerman,Hockey,NHL,Center,Retired,,#19 retired by Red Wings
tony-gwynn,Tony Gwynn,Baseball,MLB,Right Field,Retired,,#19 retired by Padres
barry-sanders,Barry Sanders,Football,NFL,Running Back,Retired,,
mike-schmidt,Mike Schmidt,Baseball,MLB,Third Base,Retired,,
roberto-clemente,Roberto Clemente,Baseball,MLB,Right Field,Retired,,#21 sacred at Pirates
tim-duncan,Tim Duncan,Basketball,NBA,Power Forward,Retired,,
emmitt-smith,Emmitt Smith,Football,NFL,Running Back,Retired,,
mike-bossy,Mike Bossy,Hockey,NHL,Right Wing,Retired,,#22 retired by Islanders
caitlin-clark,Caitlin Clark,Basketball,WNBA,Guard,Active,"West Des Moines, Iowa",ACTIVE - review annually
michael-jordan,Michael Jordan,Basketball,NBA,Shooting Guard,Retired,,SACRED - LeBron is the documented exception
lebron-james,LeBron James,Basketball,NBA,Small Forward,Active,,Active legend — review annually. Wears #23 under documented NBA exception (normally sacred for Russell).
willie-mays,Willie Mays,Baseball,MLB,Center Field,Retired,,
maya-moore,Maya Moore,Basketball,WNBA,Forward,Retired,"Jefferson City, Missouri",
ken-griffey-jr,Ken Griffey Jr.,Baseball,MLB,Center Fielder,Retired,"Donora, Pennsylvania, USA",
rickey-henderson,Rickey Henderson,Baseball,MLB,Left Field,Retired,,
barry-bonds,Barry Bonds,Baseball,MLB,Left Field,Retired,,PED era - HOF excluded - stats stand. Keep with honest context.
mark-mcgwire,Mark McGwire,Baseball,MLB,First Baseman,Retired,"Pomona, California, USA","PED era - admitted user - HOF excluded. Stats real, context required."
vladimir-guerrero,Vladimir Guerrero,Baseball,MLB,Right Field,Retired,,
nathan-mackinnon,Nathan MacKinnon,Hockey,NHL,Center,Active,,Active but passes Legend test per tier list
marie-philip-poulin,Marie-Philip Poulin,Hockey,International,Center,Active,"Beauceville, Quebec, Canada",CONDITIONAL — greatest women's hockey player; global recognition still building outside Canada. Review annually.
martin-brodeur,Martin Brodeur,Hockey,NHL,Goaltender,Retired,,
stephen-curry,Stephen Curry,Basketball,NBA,Point Guard,Active,,Active but passes Legend test per tier list
patrick-roy,Patrick Roy,Hockey,NHL,Goaltender,Retired,,#31 retired by Canadiens and Avalanche
magic-johnson,Magic Johnson,Basketball,NBA,Point Guard,Retired,,#32 sacred at Lakers
sandy-koufax,Sandy Koufax,Baseball,MLB,Pitcher,Retired,,#32 sacred at Dodgers
larry-bird,Larry Bird,Basketball,NBA,Small Forward,Retired,,#33 sacred at Celtics
patrick-ewing,Patrick Ewing,Basketball,NBA,Center,Retired,,#33 retired by Knicks
jose-canseco,Jose Canseco,Baseball,MLB,Outfielder,Retired,"Havana, Cuba",
shaquille-o-neal,Shaquille O'Neal,Basketball,NBA,Center,Retired,,
charles-barkley,Charles Barkley,Basketball,NBA,Power Forward,Retired,"Leeds, Alabama, USA",
david-ortiz,David Ortiz,Baseball,MLB,Designated Hitter,Retired,"Santo Domingo, Dominican Republic",
giannis-antetokounmpo,Giannis Antetokounmpo,Basketball,NBA,Forward,Active,"Athens, Greece",
paul-pierce,Paul Pierce,Basketball,NBA,Small Forward,Retired,,
walter-payton,Walter Payton,Football,NFL,Running Back,Retired,,#34 sacred at Bears
kevin-durant,Kevin Durant,Basketball,NBA,Small Forward,Active,"Washington, D.C., USA",One of the greatest pure scorers in NBA history
dominik-ha-ek,Dominik Hašek,Hockey,NHL,Goaltender,Retired,"Pardubice, Czech Republic",Widely considered one of the greatest goaltenders in NHL history
gale-sayers,Gale Sayers,Football,NFL,Running Back,Retired,,#40 sacred at Bears
dirk-nowitzki,Dirk Nowitzki,Basketball,NBA,Power Forward,Retired,,
tom-seaver,Tom Seaver,Baseball,MLB,Pitcher,Retired,,
jackie-robinson,Jackie Robinson,Baseball,MLB,Second Base,Retired,,SACRED - retired across all MLB
mariano-rivera,Mariano Rivera,Baseball,MLB,Closer,Retired,"Panama City, Panama",LEGEND — greatest closer of all time; wore #42 as last grandfathered player before MLB retirement for Robinson
troy-polamalu,Troy Polamalu,Football,NFL,Safety,Retired,,
hank-aaron,Hank Aaron,Baseball,MLB,Right Field,Retired,,#44 retired by Braves
jerry-west,Jerry West,Basketball,NBA,Guard,Retired,,
pedro-martinez,Pedro Martinez,Baseball,MLB,Pitcher,Retired,,
david-robinson,David Robinson,Basketball,NBA,Center,Retired,,
ichiro-suzuki,Ichiro Suzuki,Baseball,MLB,Right Field,Retired,,
bernie-williams,Bernie Williams,Baseball,MLB,Center Field,Retired,,
randy-johnson,Randy Johnson,Baseball,MLB,Pitcher,Retired,,
ray-lewis,Ray Lewis,Football,NFL,Linebacker,Retired,,#52 sacred at Ravens
brian-urlacher,Brian Urlacher,Football,NFL,Linebacker,Retired,,
junior-seau,Junior Seau,Football,NFL,Linebacker,Retired,,
lawrence-taylor,Lawrence Taylor,Football,NFL,Linebacker,Retired,"Williamsburg, Virginia, USA",Widely considered the greatest defensive player in NFL history
jack-lambert,Jack Lambert,Football,NFL,Linebacker,Retired,"Mantua, Ohio, USA",The face of the Steelers' Steel Curtain defense
chuck-bednarik,Chuck Bednarik,Football,NFL,Center/Linebacker,Retired,,
mario-lemieux,Mario Lemieux,Hockey,NHL,Center,Retired,,#66 retired by Penguins - played on same line as Jagr #68
jaromir-jagr,Jaromir Jagr,Hockey,NHL,Right Wing,Retired,,"Adjacent to Lemieux #66 - two linemates, two Legends"
mean-joe-greene,Mean Joe Greene,Football,NFL,Defensive Tackle,Retired,,
p-k-subban,P.K. Subban,Hockey,NHL,Defenseman,Retired,"Toronto, Ontario, Canada",CONDITIONAL — not yet HOF-inducted. Cross-generational name test building. Review at induction.
ray-bourque,Ray Bourque,Hockey,NHL,Defenseman,Retired,,#77 retired by Bruins
jerry-rice,Jerry Rice,Football,NFL,Wide Receiver,Retired,,
terrell-owens,Terrell Owens,Football,NFL,Wide Receiver,Retired,,
randy-moss,Randy Moss,Football,NFL,Wide Receiver,Retired,,"Note: wore #84 in Minnesota, #81 in New England"
jack-hughes,Jack Hughes,Hockey,NHL,Center,Active,"Orlando, Florida",CONDITIONAL — Olympic golden goal clears permanence and global floor tests. Cross-generational name test still building. Review July 2026. Verify exact game details.
sidney-crosby,Sidney Crosby,Hockey,NHL,Center,Active,,ACTIVE - review annually Active legend — review annually.
travis-kelce,Travis Kelce,Football,NFL,Tight End,Active,,ACTIVE - review annually - may move to Legend on retirement Active legend — review annually.
patrick-kane,Patrick Kane,Hockey,NHL,Right Wing,Active,"Buffalo, New York, USA",CONDITIONAL — cross-generational name test building. ACTIVE - review annually.
eric-lindros,Eric Lindros,Hockey,NHL,Center,Retired,,
tony-gonzalez,Tony Gonzalez,Football,NFL,Tight End,Retired,,#88 is most HOF-crowded number in NFL history per tier list
mike-ditka,Mike Ditka,Football,NFL,Tight End,Retired,,
sergei-fedorov,Sergei Fedorov,Hockey,NHL,Center,Retired,"Pskov, Russia",One of the greatest two-way forwards in NHL history
michael-strahan,Michael Strahan,Football,NFL,Defensive End,Retired,,
reggie-white,Reggie White,Football,NFL,Defensive End,Retired,,
pavel-bure,Pavel Bure,Hockey,NHL,Right Wing,Retired,,
connor-mcdavid,Connor McDavid,Hockey,NHL,Center,Active,,ACTIVE - review annually Active legend — review annually.
