player_id,name,sport,league,role,status,hometown,notes
wayne-gretzky,Wayne Gretzky,Hockey,NHL,Center,Retired,,SACRED - retired across all NHL
aaron-judge,Aaron Judge,Baseball,MLB,Right Fielder,Active,,LEGEND — AL single-season HR record holder; face of the Yankees
jayson-tatum,Jayson Tatum,Basketball,NBA,Small Forward,Active,,
bobby-doerr,Bobby Doerr,Baseball,MLB,Second Base,Retired,,
gerry-cheevers,Gerry Cheevers,Hockey,NHL,Goaltender,Retired,,
red-auerbach,Red Auerbach,Basketball,NBA,Head Coach,Retired,,
eddie-shore,Eddie Shore,Hockey,NHL,Defenseman,Retired,"Fort Qu'Appelle, Saskatchewan, Canada",
dennis-johnson,Dennis Johnson,Basketball,NBA,Point Guard,Retired,,Died at 52 - Hall of Fame case pending
jimmie-foxx,Jimmie Foxx,Baseball,MLB,First Base,Retired,,
joe-cronin,Joe Cronin,Baseball,MLB,Shortstop,Retired,,
kevin-garnett,Kevin Garnett,Basketball,NBA,Power Forward,Retired,,
nomar-garciaparra,Nomar Garciaparra,Baseball,MLB,Shortstop,Retired,,
johnny-pesky,Johnny Pesky,Baseball,MLB,Shortstop,Retired,,
jaylen-brown,Jaylen Brown,Basketball,NBA,Shooting Guard,Active,,
cam-neely,Cam Neely,Hockey,NHL,Right Wing,Retired,,
carl-yastrzemski,Carl Yastrzemski,Baseball,MLB,Left Field,Retired,,
johnny-bucyk,Johnny Bucyk,Hockey,NHL,Left Wing,Retired,,
jo-jo-white,Jo Jo White,Basketball,NBA,Guard,Retired,,
julian-edelman,Julian Edelman,Football,NFL,Wide Receiver,Retired,,Confidence 3 - Legend tier debated
bob-cousy,Bob Cousy,Basketball,NBA,Point Guard,Retired,,
jim-rice,Jim Rice,Baseball,MLB,Left Field,Retired,,
steve-grogan,Steve Grogan,Football,NFL,Quarterback,Retired,,
dustin-pedroia,Dustin Pedroia,Baseball,MLB,Second Base,Retired,,The Laser Show
milt-schmidt,Milt Schmidt,Hockey,NHL,Center,Retired,,
tom-heinsohn,Tom Heinsohn,Basketball,NBA,Forward,Retired,,
derek-sanderson,Derek Sanderson,Hockey,NHL,Center,Retired,,Turk
dwight-evans,Dwight Evans,Baseball,MLB,Right Field,Retired,,
john-havlicek,John Havlicek,Basketball,NBA,Small Forward,Retired,,
milan-lucic,Milan Lucic,Hockey,NHL,Left Wing,Retired,,
dave-cowens,Dave Cowens,Basketball,NBA,Center,Retired,,
johnny-damon,Johnny Damon,Baseball,MLB,Center Field,Retired,,Broke hearts going to the Yankees after
don-nelson,Don Nelson,Basketball,NBA,Forward,Retired,,
fred-lynn,Fred Lynn,Baseball,MLB,Center Field,Retired,,
gino-cappelletti,Gino Cappelletti,Football,NFL,Wide Receiver/Kicker,Retired,,
kevin-youkilis,Kevin Youkilis,Baseball,MLB,First/Third Base,Retired,,"Cultural Legend: City Icon — The Greek God of Walks. Stat suppressed; his legend lives in the roar of Fenway, not a line in a box score."
ray-allen,Ray Allen,Basketball,NBA,Shooting Guard,Retired,,
ed-macauley,Ed Macauley,Basketball,NBA,Center,Retired,,
roger-clemens,Roger Clemens,Baseball,MLB,Pitcher,Retired,,Complex legacy but undeniable Boston impact
willie-o-ree,Willie O'Ree,Hockey,NHL,Left Wing,Retired,,Cultural Legend: Barrier Breaker — First Black player in NHL history (1958). Stat suppressed; the barrier he broke can't be measured.
frank-ramsey,Frank Ramsey,Basketball,NBA,Guard/Forward,Retired,,
luis-tiant,Luis Tiant,Baseball,MLB,Pitcher,Retired,,The windup was performance art
manny-ramirez,Manny Ramirez,Baseball,MLB,Left Field,Retired,,Manny Being Manny
sam-jones,Sam Jones,Basketball,NBA,Guard,Retired,,The Bank Shot
terry-o-reilly,Terry O'Reilly,Hockey,NHL,Right Wing,Retired,,
ty-law,Ty Law,Football,NFL,Cornerback,Retired,,Hall of Famer
k-c-jones,K.C. Jones,Basketball,NBA,Guard,Retired,,
tony-conigliaro,Tony Conigliaro,Baseball,MLB,Right Field,Retired,,
wade-boggs,Wade Boggs,Baseball,MLB,Third Base,Retired,,
carlton-fisk,Carlton Fisk,Baseball,MLB,Catcher,Retired,,
corey-dillon,Corey Dillon,Football,NFL,Running Back,Retired,,
tim-thomas,Tim Thomas,Hockey,NHL,Goalie,Retired,"Flint, Michigan, USA",
cedric-maxwell,Cedric Maxwell,Basketball,NBA,Forward,Retired,,
kevin-mchale,Kevin McHale,Basketball,NBA,Power Forward,Retired,,
zdeno-chara,Zdeno Chara,Hockey,NHL,Defenseman,Retired,,
reggie-lewis,Reggie Lewis,Basketball,NBA,Small Forward,Retired,,One of the great Boston tragedies
patrice-bergeron,Patrice Bergeron,Hockey,NHL,Center,Retired,,
curt-schilling,Curt Schilling,Baseball,MLB,Pitcher,Retired,,
tuukka-rask,Tuukka Rask,Hockey,NHL,Goaltender,Retired,,
danny-ainge,Danny Ainge,Basketball,NBA,Guard,Retired,,
david-krejci,David Krejci,Hockey,NHL,Center,Retired,,
mike-vrabel,Mike Vrabel,Football,NFL,Linebacker,Retired,,
tedy-bruschi,Tedy Bruschi,Football,NFL,Linebacker,Retired,,
willie-mcginest,Willie McGinest,Football,NFL,Linebacker/DE,Retired,,
andre-tippett,Andre Tippett,Football,NFL,Linebacker,Retired,,
brad-marchand,Brad Marchand,Hockey,NHL,Left Wing,Active,,"Moved to Florida Panthers 2025 — legacy belongs to Boston. Keep on legends wall, review annually."
matt-light,Matt Light,Football,NFL,Offensive Tackle,Retired,,
john-hannah,John Hannah,Football,NFL,Offensive Guard,Retired,,
vince-wilfork,Vince Wilfork,Football,NFL,Defensive Tackle,Retired,,
wes-welker,Wes Welker,Football,NFL,Slot Receiver,Retired,,Dropped the crucial pass in Super Bowl XLVI
rob-gronkowski,Rob Gronkowski,Football,NFL,Tight End,Retired,,Gronk
david-pastrnak,David Pastrnak,Hockey,NHL,Right Wing,Active,,Active - update annually
richard-seymour,Richard Seymour,Football,NFL,Defensive End,Retired,,Hall of Famer
christian-gonzalez,Christian Gonzalez,Football,NFL,CB,Active,,
jeremy-swayman,Jeremy Swayman,Hockey,NHL,G,Active,,
harold-landry-iii,Harold Landry III,Football,NFL,LB,Active,,
i-kiner-falefa,I. Kiner-Falefa,Baseball,MLB,SS,Active,,
c-rafaela,C. Rafaela,Baseball,MLB,CF,Active,,
demario-douglas,DeMario Douglas,Football,NFL,WR,Active,,
nikola-vucevic,Nikola Vucevic,Basketball,NBA,C,Active,,
mason-lohrei,Mason Lohrei,Hockey,NHL,D,Active,,
carlton-davis-iii,Carlton Davis III,Football,NFL,CB,Active,,
m-yoshida,M. Yoshida,Baseball,MLB,LF,Active,,
john-tonje,John Tonje,Basketball,NBA,G,Active,,
stefon-diggs,Stefon Diggs,Football,NFL,WR,Active,,
derrick-white,Derrick White,Basketball,NBA,G,Active,,
kayshon-boutte,Kayshon Boutte,Football,NFL,WR,Active,,
drake-maye,Drake Maye,Football,NFL,QB,Active,,
t-story,T. Story,Baseball,MLB,SS,Active,,
casey-mittelstadt,Casey Mittelstadt,Hockey,NHL,C,Active,,
joshua-dobbs,Joshua Dobbs,Football,NFL,QB,Active,,
m-mayer,M. Mayer,Baseball,MLB,3B,Active,,
payton-pritchard,Payton Pritchard,Basketball,NBA,G,Active,,
c-wong,C. Wong,Baseball,MLB,C,Active,,
mack-hollins,Mack Hollins,Football,NFL,WR,Active,,
ron-harper-jr,Ron Harper Jr.,Basketball,NBA,G,Active,,
robert-spillane,Robert Spillane,Football,NFL,LB,Active,,
marte-mapu,Marte Mapu,Football,NFL,LB,Active,,
j-duran,J. Duran,Baseball,MLB,LF,Active,,
tommy-devito,Tommy DeVito,Football,NFL,QB,Active,,
bryce-baringer,Bryce Baringer,Football,NFL,P,Active,,
c-durbin,C. Durbin,Baseball,MLB,3B,Active,,
kyle-williams,Kyle Williams,Football,NFL,WR,Active,,
n-eaton,N. Eaton,Baseball,MLB,3B,Active,,
pavel-zacha,Pavel Zacha,Hockey,NHL,C,Active,,
kobee-minor,Kobee Minor,Football,NFL,DB,Active,,
r-anthony,R. Anthony,Baseball,MLB,RF,Active,,
henri-jokiharju,Henri Jokiharju,Hockey,NHL,D,Active,,
n-sogard,N. Sogard,Baseball,MLB,1B,Active,,
alex-steeves,Alex Steeves,Hockey,NHL,C,Active,,
jaylinn-hawkins,Jaylinn Hawkins,Football,NFL,S,Active,,
charles-woods,Charles Woods,Football,NFL,CB,Active,,
g-whitlock,G. Whitlock,Baseball,MLB,RP,Active,,
r-gonzalez,R. Gonzalez,Baseball,MLB,1B,Active,,
dell-pettus,Dell Pettus,Football,NFL,S,Active,,
marcus-jones,Marcus Jones,Football,NFL,CB,Active,,
andrew-peeke,Andrew Peeke,Hockey,NHL,D,Active,,
hampus-lindholm,Hampus Lindholm,Hockey,NHL,D,Active,,
jordan-walsh,Jordan Walsh,Basketball,NBA,G,Active,,
alex-austin,Alex Austin,Football,NFL,CB,Active,,
elias-lindholm,Elias Lindholm,Hockey,NHL,C,Active,,
hugo-gonzalez,Hugo Gonzalez,Basketball,NBA,G,Active,,
k-campbell,K. Campbell,Baseball,MLB,2B,Active,,
j-oviedo,J. Oviedo,Baseball,MLB,SP,Active,,
victor-soderstrom,Victor Soderstrom,Hockey,NHL,D,Active,,
m-gasper,M. Gasper,Baseball,MLB,2B,Active,,
sam-hauser,Sam Hauser,Basketball,NBA,F,Active,,
craig-woodson,Craig Woodson,Football,NFL,S,Active,,
a-monasterio,A. Monasterio,Baseball,MLB,SS,Active,,
treveyon-henderson,TreVeyon Henderson,Football,NFL,RB,Active,,
anfernee-jennings,Anfernee Jennings,Football,NFL,LB,Active,,
g-crochet,G. Crochet,Baseball,MLB,SP,Active,,
andy-borregales,Andy Borregales,Football,NFL,K,Active,,
t-casas,T. Casas,Baseball,MLB,1B,Active,,
jack-westover,Jack Westover,Football,NFL,FB,Active,,
rhamondre-stevenson,Rhamondre Stevenson,Football,NFL,RB,Active,,
morgan-geekie,Morgan Geekie,Hockey,NHL,C,Active,,
t-cheng,T. Cheng,Baseball,MLB,SS,Active,,
w-contreras,W. Contreras,Baseball,MLB,1B,Active,,
brenden-schooler,Brenden Schooler,Football,NFL,S,Active,,
bradyn-swinson,Bradyn Swinson,Football,NFL,LB,Active,,
jordan-harris,Jordan Harris,Hockey,NHL,D,Active,,
p-sandoval,P. Sandoval,Baseball,MLB,SP,Active,,
a-chapman,A. Chapman,Baseball,MLB,RP,Active,,
k-lavon-chaisson,K'Lavon Chaisson,Football,NFL,LB,Active,,
max-shulga,Max Shulga,Basketball,NBA,G,Active,,
jonathan-aspirot,Jonathan Aspirot,Hockey,NHL,D,Active,,
j-moran,J. Moran,Baseball,MLB,RP,Active,,
julian-ashby,Julian Ashby,Football,NFL,LS,Active,,
mark-kastelic,Mark Kastelic,Hockey,NHL,C,Active,,
a-seigler,A. Seigler,Baseball,MLB,2B,Active,,
jahlani-tavai,Jahlani Tavai,Football,NFL,LB,Active,,
chad-muma,Chad Muma,Football,NFL,LB,Active,,
k-crawford,K. Crawford,Baseball,MLB,SP,Active,,
jack-gibbens,Jack Gibbens,Football,NFL,LB,Active,,
matthew-poitras,Matthew Poitras,Hockey,NHL,C,Active,,
luka-garza,Luka Garza,Basketball,NBA,C,Active,,
marcus-bryant,Marcus Bryant,Football,NFL,OT,Active,,
sean-kuraly,Sean Kuraly,Hockey,NHL,C,Active,,
w-abreu,W. Abreu,Baseball,MLB,RF,Active,,
christian-elliss,Christian Elliss,Football,NFL,LB,Active,,
s-gray,S. Gray,Baseball,MLB,SP,Active,,
baylor-scheierman,Baylor Scheierman,Basketball,NBA,G,Active,,
r-suarez,R. Suarez,Baseball,MLB,SP,Active,,
r-watson,R. Watson,Baseball,MLB,RP,Active,,
g-weissert,G. Weissert,Baseball,MLB,RP,Active,,
jared-wilson,Jared Wilson,Football,NFL,OL,Active,,
vederian-lowe,Vederian Lowe,Football,NFL,OT,Active,,
j-slaten,J. Slaten,Baseball,MLB,RP,Active,,
garrett-bradbury,Garrett Bradbury,Football,NFL,C,Active,,
b-bello,B. Bello,Baseball,MLB,SP,Active,,
will-campbell,Will Campbell,Football,NFL,OT,Active,,
caedan-wallace,Caedan Wallace,Football,NFL,OT,Active,,
joonas-korpisalo,Joonas Korpisalo,Hockey,NHL,G,Active,,
p-tolle,P. Tolle,Baseball,MLB,SP,Active,,
c-early,C. Early,Baseball,MLB,SP,Active,,
mike-onwenu,Mike Onwenu,Football,NFL,OL,Active,,
viktor-arvidsson,Viktor Arvidsson,Hockey,NHL,LW,Active,,
charlie-mcavoy,Charlie McAvoy,Hockey,NHL,D,Active,,
thayer-munford-jr,Thayer Munford Jr.,Football,NFL,OT,Active,,
c-narv-ez,C. Narváez,Baseball,MLB,C,Active,,
morgan-moses,Morgan Moses,Football,NFL,OT,Active,,
z-kelly,Z. Kelly,Baseball,MLB,RP,Active,,
amari-williams,Amari Williams,Basketball,NBA,F,Active,,
ben-brown,Ben Brown,Football,NFL,C,Active,,
t-samaniego,T. Samaniego,Baseball,MLB,SP,Active,,
t-uberstine,T. Uberstine,Baseball,MLB,SP,Active,,
austin-hooper,Austin Hooper,Football,NFL,TE,Active,,
michael-eyssimont,Michael Eyssimont,Hockey,NHL,C,Active,,
cj-dippre,CJ Dippre,Football,NFL,TE,Active,,
tanner-jeannot,Tanner Jeannot,Hockey,NHL,LW,Active,,
hunter-henry,Hunter Henry,Football,NFL,TE,Active,,
efton-chism-iii,Efton Chism III,Football,NFL,WR,Active,,
neemias-queta,Neemias Queta,Basketball,NBA,C,Active,,
t-houck,T. Houck,Baseball,MLB,SP,Active,,
christian-barmore,Christian Barmore,Football,NFL,DT,Active,,
elijah-ponder,Elijah Ponder,Football,NFL,LB,Active,,
nikita-zadorov,Nikita Zadorov,Hockey,NHL,D,Active,,
marat-khusnutdinov,Marat Khusnutdinov,Hockey,NHL,C,Active,,
fraser-minten,Fraser Minten,Hockey,NHL,C,Active,,
cory-durden,Cory Durden,Football,NFL,DL,Active,,
khyiris-tonga,Khyiris Tonga,Football,NFL,DL,Active,,
milton-williams,Milton Williams,Football,NFL,DT,Active,,
evgeni-malkin,Evgeni Malkin,Hockey,NHL,Center,Active,"Magnitogorsk, Russia",
stan-musial,Stan Musial,Baseball,MLB,Outfielder / First Baseman,Retired,"Donora, PA","Stan The Man. 3x NL MVP, 7 batting titles, HOF 1969. #6 retired by Cardinals 1963."
mike-singletary,Mike Singletary,Football,NFL,Middle Linebacker,Retired,"Houston, TX","Samurai Mike. 10x Pro Bowl, 2x DPOY, HOF 1998. Face of the '85 Bears defense."
dick-butkus,Dick Butkus,Football,NFL,Middle Linebacker,Retired,"Chicago, IL",First-ballot HOF 1979. 60s + 70s All-Decade. #51 retired by Bears 1994.
john-randle,John Randle,Football,NFL,Defensive Tackle,Retired,"Mumford, TX",Undrafted → HOF 2010. 137.5 career sacks — most ever by a DT at retirement.
